id_integracion,visita,pc,a0,rnd_archivos,t,A
1,1,1,1000,0.2248,0,1000
1,1,1,1000,0.2248,0.1,893.2
1,1,1,1000,0.2248,0.2,806.6194
1,1,1,1000,0.2248,0.3,734.7559
1,1,1,1000,0.2248,0.4,673.9693
1,1,1,1000,0.2248,0.5,621.7458
1,1,1,1000,0.2248,0.6,576.289
1,1,1,1000,0.2248,0.7,536.2781
1,1,1,1000,0.2248,0.8,500.7187
1,1,1,1000,0.2248,0.9,468.8468
1,1,1,1000,0.2248,1.0,440.065
1,1,1,1000,0.2248,1.1,413.8993
1,1,1,1000,0.2248,1.2,389.9681
1,1,1,1000,0.2248,1.3,367.9606
1,1,1,1000,0.2248,1.4,347.6211
1,1,1,1000,0.2248,1.5,328.737
1,1,1,1000,0.2248,1.6,311.1302
1,1,1,1000,0.2248,1.7,294.65
1,1,1,1000,0.2248,1.8,279.1681
1,1,1,1000,0.2248,1.9,264.5747
1,1,1,1000,0.2248,2.0,250.7747
1,1,1,1000,0.2248,2.1,237.6859
1,1,1,1000,0.2248,2.2,225.2364
1,1,1,1000,0.2248,2.3,213.3633
1,1,1,1000,0.2248,2.4,202.0109
1,1,1,1000,0.2248,2.5,191.1301
1,1,1,1000,0.2248,2.6,180.677
1,1,1,1000,0.2248,2.7,170.6126
1,1,1,1000,0.2248,2.8,160.9017
1,1,1,1000,0.2248,2.9,151.5128
1,1,1,1000,0.2248,3.0,142.4172
1,1,1,1000,0.2248,3.1,133.5889
1,1,1,1000,0.2248,3.2,125.0043
1,1,1,1000,0.2248,3.3,116.6417
1,1,1,1000,0.2248,3.4,108.4812
1,1,1,1000,0.2248,3.5,100.5043
1,1,1,1000,0.2248,3.6,92.6942
1,1,1,1000,0.2248,3.7,85.035
1,1,1,1000,0.2248,3.8,77.5119
1,1,1,1000,0.2248,3.9,70.1111
1,1,1,1000,0.2248,4.0,62.8195
1,1,1,1000,0.2248,4.1,55.6249
1,1,1,1000,0.2248,4.2,48.5155
1,1,1,1000,0.2248,4.3,41.4801
1,1,1,1000,0.2248,4.4,34.5081
1,1,1,1000,0.2248,4.5,27.589
1,1,1,1000,0.2248,4.6,20.7129
1,1,1,1000,0.2248,4.7,13.87
1,1,1,1000,0.2248,4.8,7.0507
1,1,1,1000,0.2248,4.9,0.2458
1,1,1,1000,0.2248,5.0,-6.5542
2,1,2,2000,0.8384,0,2000
2,1,2,2000,0.8384,0.1,1793.2
2,1,2,2000,0.8384,0.2,1625.6217
2,1,2,2000,0.8384,0.3,1486.6894
2,1,2,2000,0.8384,0.4,1369.3771
2,1,2,2000,0.8384,0.5,1268.8174
2,1,2,2000,0.8384,0.6,1181.5226
2,1,2,2000,0.8384,0.7,1104.9228
2,1,2,2000,0.8384,0.8,1037.0801
2,1,2,2000,0.8384,0.9,976.5033
2,1,2,2000,0.8384,1.0,922.0254
2,1,2,2000,0.8384,1.1,872.7188
2,1,2,2000,0.8384,1.2,827.8369
2,1,2,2000,0.8384,1.3,786.7712
2,1,2,2000,0.8384,1.4,749.0208
2,1,2,2000,0.8384,1.5,714.1692
2,1,2,2000,0.8384,1.6,681.8673
2,1,2,2000,0.8384,1.7,651.8201
2,1,2,2000,0.8384,1.8,623.7767
2,1,2,2000,0.8384,1.9,597.5218
2,1,2,2000,0.8384,2.0,572.8702
2,1,2,2000,0.8384,2.1,549.6612
2,1,2,2000,0.8384,2.2,527.7548
2,1,2,2000,0.8384,2.3,507.0285
2,1,2,2000,0.8384,2.4,487.3746
2,1,2,2000,0.8384,2.5,468.6979
2,1,2,2000,0.8384,2.6,450.9141
2,1,2,2000,0.8384,2.7,433.9479
2,1,2,2000,0.8384,2.8,417.7323
2,1,2,2000,0.8384,2.9,402.2073
2,1,2,2000,0.8384,3.0,387.3188
2,1,2,2000,0.8384,3.1,373.018
